"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W10";"CH";"Y25T29";"T";"P";1
"2021-W10";"CH";"Y25T29";"M";"P";1
"2021-W10";"CH";"Y30T34";"T";"P";2
"2021-W10";"CH";"Y30T34";"F";"P";1
"2021-W10";"CH";"Y30T34";"M";"P";1
"2021-W10";"CH";"Y35T39";"T";"P";1
"2021-W10";"CH";"Y35T39";"F";"P";1
"2021-W10";"CH";"Y40T44";"T";"P";8
"2021-W10";"CH";"Y40T44";"F";"P";3
"2021-W10";"CH";"Y40T44";"M";"P";5
"2021-W10";"CH";"Y45T49";"T";"P";13
"2021-W10";"CH";"Y45T49";"F";"P";3
"2021-W10";"CH";"Y45T49";"M";"P";10
"2021-W10";"CH";"Y50T54";"T";"P";23
"2021-W10";"CH";"Y50T54";"F";"P";5
"2021-W10";"CH";"Y50T54";"M";"P";18
"2021-W10";"CH";"Y55T59";"T";"P";39
"2021-W10";"CH";"Y55T59";"F";"P";13
"2021-W10";"CH";"Y55T59";"M";"P";26
"2021-W10";"CH";"Y60T64";"T";"P";49
"2021-W10";"CH";"Y60T64";"F";"P";22
"2021-W10";"CH";"Y60T64";"M";"P";27
"2021-W10";"CH";"Y65T69";"T";"P";63
"2021-W10";"CH";"Y65T69";"F";"P";23
"2021-W10";"CH";"Y65T69";"M";"P";40
"2021-W10";"CH";"Y70T74";"T";"P";128
"2021-W10";"CH";"Y70T74";"F";"P";63
"2021-W10";"CH";"Y70T74";"M";"P";65
"2021-W10";"CH";"Y75T79";"T";"P";154
"2021-W10";"CH";"Y75T79";"F";"P";71
"2021-W10";"CH";"Y75T79";"M";"P";83
"2021-W10";"CH";"Y80T84";"T";"P";183
"2021-W10";"CH";"Y80T84";"F";"P";80
"2021-W10";"CH";"Y80T84";"M";"P";103
"2021-W10";"CH";"Y85T89";"T";"P";248
"2021-W10";"CH";"Y85T89";"F";"P";137
"2021-W10";"CH";"Y85T89";"M";"P";111
"2021-W10";"CH";"Y_GE90";"T";"P";329
"2021-W10";"CH";"Y_GE90";"F";"P";218
"2021-W10";"CH";"Y_GE90";"M";"P";111
"2021-W10";"CH011";"_T";"T";"P";101
"2021-W10";"CH011";"_T";"F";"P";42
"2021-W10";"CH011";"_T";"M";"P";59
"2021-W10";"CH011";"Y45T49";"T";"P";2
"2021-W10";"CH011";"Y45T49";"F";"P";1
"2021-W10";"CH011";"Y45T49";"M";"P";1
"2021-W10";"CH011";"Y50T54";"T";"P";1
"2021-W10";"CH011";"Y50T54";"M";"P";1
"2021-W10";"CH011";"Y55T59";"T";"P";2
"2021-W10";"CH011";"Y55T59";"M";"P";2
"2021-W10";"CH011";"Y60T64";"T";"P";7
"2021-W10";"CH011";"Y60T64";"F";"P";4
"2021-W10";"CH011";"Y60T64";"M";"P";3
"2021-W10";"CH011";"Y65T69";"T";"P";11
"2021-W10";"CH011";"Y65T69";"F";"P";1
"2021-W10";"CH011";"Y65T69";"M";"P";10
"2021-W10";"CH011";"Y70T74";"T";"P";12
"2021-W10";"CH011";"Y70T74";"F";"P";5
"2021-W10";"CH011";"Y70T74";"M";"P";7
"2021-W10";"CH011";"Y75T79";"T";"P";14
"2021-W10";"CH011";"Y75T79";"F";"P";5
"2021-W10";"CH011";"Y75T79";"M";"P";9
"2021-W10";"CH011";"Y80T84";"T";"P";14
"2021-W10";"CH011";"Y80T84";"F";"P";6
"2021-W10";"CH011";"Y80T84";"M";"P";8
"2021-W10";"CH011";"Y85T89";"T";"P";10
"2021-W10";"CH011";"Y85T89";"F";"P";4
"2021-W10";"CH011";"Y85T89";"M";"P";6
"2021-W10";"CH011";"Y_GE90";"T";"P";28
"2021-W10";"CH011";"Y_GE90";"F";"P";16
